order_id,customer_id,customer_name,customer_email,phone_number,shipping_address,city,state,pincode,order_date,category,product_name,quantity,price_per_unit,total_amount,payment_method,order_status
OD085083213843,CUST646649,Diya Iyer,diya.iyer322@example.com,9349924125,"Flat 34, Society D, Mumbai",Mumbai,Maharashtra,398590,2023-09-19 12:29:13,Health,Protein Powder,1,1899,1899,Cash on Delivery,Delivered
OD724927212540,CUST285696,Rahul Joshi,rahul.joshi331@example.com,9446787943,"Flat 153, Society A, Hyderabad",Hyderabad,Telangana,392528,2023-09-19 13:18:05,Fashion,Running Shoes,1,1599,1599,UPI,Delivered
OD980049147782,CUST470615,Sneha Joshi,sneha.joshi993@example.com,9500721043,"Flat 83, Society B, Kolkata",Kolkata,West Bengal,529426,2023-09-19 18:54:01,Fashion,T-Shirt,2,499,998,Cash on Delivery,Delivered
OD327680433089,CUST381463,Rahul Singh,rahul.singh397@example.com,9633488951,"Flat 91, Society A, Bengaluru",Bengaluru,Karnataka,137284,2023-09-19 20:25:36,Home,Bedsheet,1,799,799,UPI,Returned
OD071214024808,CUST762514,Anjali Reddy,anjali.reddy151@example.com,9104746614,"Flat 419, Society B, Kolkata",Kolkata,West Bengal,653114,2023-09-19 21:45:26,Fashion,Jeans,1,1299,1299,Debit Card,Delivered
OD646404312084,CUST894289,Anjali Bose,anjali.bose504@example.com,9017807404,"Flat 168, Society B, Lucknow",Lucknow,Uttar Pradesh,168356,2023-09-20 01:40:26,Fashion,Jeans,2,1299,2598,UPI,Delivered
OD093362869783,CUST156198,Karan Joshi,karan.joshi643@example.com,9112345810,"Flat 90, Society A, Delhi",Delhi,Delhi,228557,2023-09-20 02:12:47,Fashion,Jeans,1,1299,1299,UPI,Delivered
OD947589127086,CUST300068,Rohit Patel,rohit.patel185@example.com,9985121479,"Flat 116, Society D, Mumbai",Mumbai,Maharashtra,141371,2023-09-20 02:36:31,Books,Novel,1,299,299,UPI,Delivered
OD087457957618,CUST974853,Vikram Kumar,vikram.kumar281@example.com,9504491311,"Flat 28, Society B, Chennai",Chennai,Tamil Nadu,788952,2023-09-20 02:50:20,Home Appliances,Blender,2,2250,4500,Cash on Delivery,Delivered
OD165984558512,CUST983733,Rahul Bose,rahul.bose265@example.com,9514590440,"Flat 241, Society D, Pune",Pune,Maharashtra,754031,2023-09-20 03:14:43,Electronics,Smartwatch,1,2499,2499,Credit Card,Shipped
